,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,Rank,year,team_strength,attack_strength,defence_strength
0,Arsenal,7,6,0,1,17,7,10,18,2.57,W W W L W,60070,Gabriel Jesus - 4,Aaron Ramsdale,,1,2022-23,1071.4285714285716,1242.857142857143,900.0
1,Manchester City,7,5,2,0,23,6,17,17,2.43,D W W D W,53325,Erling Haaland - 11,Ederson,,2,2022-23,1042.8571428571427,1328.5714285714284,914.2857142857143
2,Tottenham,7,5,2,0,18,7,11,17,2.43,W W D W W,61530,Harry Kane - 6,Hugo Lloris,,3,2022-23,1042.8571428571427,1257.142857142857,900.0
3,Brighton,6,4,1,1,11,5,6,13,2.17,D W W L W,31230,Alexis Mac Allister - 4,Robert Sánchez,,4,2022-23,1033.3333333333333,1183.3333333333333,916.6666666666666
4,Manchester Utd,6,4,0,2,8,8,0,12,2.0,L W W W W,73763,Marcus Rashford - 3,David de Gea,,5,2022-23,1033.3333333333335,1133.3333333333333,866.6666666666667
5,Fulham,7,3,2,2,12,11,1,11,1.57,W L W L W,22076,Aleksandar Mitrović - 6,Bernd Leno,,6,2022-23,985.7142857142858,1171.4285714285713,842.8571428571429
6,Chelsea,6,3,1,2,8,9,-1,10,1.67,D L W L W,39941,Raheem Sterling - 3,Edouard Mendy,,7,2022-23,999.9999999999999,1133.3333333333333,850.0
7,Liverpool,6,2,3,1,15,6,9,9,1.5,D L W W D,53205,"Luis Díaz, Roberto Firmino - 3",Alisson,,8,2022-23,966.6666666666666,1250.0,900.0
8,Brentford,7,2,3,2,15,12,3,9,1.29,L D D W L,17069,Ivan Toney - 5,David Raya,,9,2022-23,957.1428571428572,1214.2857142857142,828.5714285714286
9,Newcastle Utd,7,1,5,1,8,7,1,8,1.14,D D L D D,52151,"Alexander Isak, Callum Wilson - 2",Nick Pope,,10,2022-23,928.5714285714286,1114.2857142857142,900.0
10,Leeds United,6,2,2,2,10,10,0,8,1.33,D W L D L,36352,Rodrigo - 4,Illan Meslier,,11,2022-23,966.6666666666665,1166.6666666666667,833.3333333333333
11,Bournemouth,7,2,2,3,6,19,-13,8,1.14,L L D W D,10516,Philip Billing - 2,Mark Travers,,12,2022-23,957.1428571428572,1085.7142857142858,728.5714285714286
12,Everton,7,1,4,2,5,6,-1,7,1.0,D D D D W,39266,Anthony Gordon - 2,Jordan Pickford,,13,2022-23,928.5714285714287,1071.4285714285713,914.2857142857143
13,Southampton,7,2,1,4,7,11,-4,7,1.0,W L W L L,31184,Che Adams - 2,Gavin Bazunu,,14,2022-23,957.1428571428572,1100.0,842.8571428571429
14,Aston Villa,7,2,1,4,6,10,-4,7,1.0,L L L D W,41567,"Ollie Watkins, Leon Bailey... - 1",Emiliano Martínez,,15,2022-23,957.1428571428572,1085.7142857142858,857.1428571428571
15,Crystal Palace,6,1,3,2,7,9,-2,6,1.0,D W L D D,24114,Wilfried Zaha - 4,Vicente Guaita,,16,2022-23,933.3333333333333,1116.6666666666667,850.0
16,Wolves,7,1,3,3,3,7,-4,6,0.86,L D D W L,31153,Daniel Podence - 2,José Sá,,17,2022-23,928.5714285714286,1042.857142857143,900.0
17,West Ham,7,1,1,5,3,9,-6,4,0.57,L W D L L,62447,"Pablo Fornals, Tomáš Souček... - 1",Łukasz Fabiański,,18,2022-23,928.5714285714286,1042.857142857143,871.4285714285714
18,Nott'ham Forest,7,1,1,5,6,17,-11,4,0.57,D L L L L,28988,"Brennan Johnson, Taiwo Awoniyi - 2",Dean Henderson,,19,2022-23,928.5714285714286,1085.7142857142858,757.1428571428571
19,Leicester City,7,0,1,6,10,22,-12,1,0.14,L L L L L,31623,James Maddison - 3,Danny Ward,,20,2022-23,900.0,1142.857142857143,685.7142857142858
